# 601 point Fourier filter, Sine and Cosine
# =========================================
#
# Designed and tested for controlled-source electromagnetic data.
#
#
# > Key, K., 2009;
# > 1D inversion of multicomponent, multifrequency marine CSEM data:
# > Methodology and synthetic studies for resolving thin resistive layers;
# > Geophysics, 74(2), F9-F20;
# > DOI: 10.1190/1.3058434
#
#
# Copyright 2009 Kerry Key
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                    sin                     cos
7.027491498229519e+02   5.539638066390042e-02   2.416475780004171e-03
7.727843255351499e+02  -5.212806950810558e-02  -2.201584330908779e-03
8.497991266773804e+02   4.905345781230656e-02   2.005824944280696e-03
9.344891347292100e+02  -4.616082794260108e-02  -1.827457242918919e-03
1.027619252024106e+03   4.343923579804874e-02   1.664895134294627e-03
1.130030610186371e+03  -4.087844237105168e-02  -1.516697949517489e-03
1.242648167054996e+03   3.846885569150211e-02   1.381560747765788e-03
1.366489060708247e+03  -3.620148075223817e-02  -1.258303255733349e-03
1.502671796040775e+03   3.406787567046667e-02   1.145858434825516e-03
1.652426346864483e+03  -3.206011282083423e-02  -1.043262154695598e-03
1.817105264773206e+03   3.017074400183465e-02   9.496442040538239e-04
1.998195895104117e+03  -2.839276891085451e-02  -8.642195933510369e-04
2.197333810327873e+03   2.671960636084829e-02   7.862796001679923e-04
2.416317582195026e+03  -2.514506780695629e-02  -7.151834263282333e-04
